,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-11-10,-0.01512784006465695,-0.013299860022865428,-0.027812000607551957,-0.015166288501280212,-0.04274288727302644
2015-11-11,-0.016345023421862837,-0.01584918838442617,-0.030924470514551494,-0.016393278848883308,-0.04553559101936555
2015-11-12,-0.025908658102979154,-0.027502612520136638,-0.03717547039339819,-0.025826618586616723,-0.048935394167618496
2015-11-13,-0.045035784216611696,-0.042510468991939,-0.04146167303662751,-0.044720158195133974,-0.05070682432400009
2015-11-16,-0.03129917455859077,-0.028343705840931377,-0.033068022749781156,-0.031114227049229837,-0.04474562875276289
2015-11-17,-0.030690296382786975,-0.028392759002863532,-0.03284446655653439,-0.03049677730225475,-0.04417062756784196
2015-11-18,-0.012085024920243215,-0.011360187819826062,-0.022829832890648105,-0.012044131077139975,-0.03629077684823245
2015-11-19,-0.011389409716925258,-0.011438330469127678,-0.020729786639250847,-0.01129488205928375,-0.03310354868248655
2015-11-20,-0.004694686379393409,-0.006290070259836744,-0.019788423149919354,-0.0046920298418745565,-0.03316527544715486
2015-11-23,-0.007563884220178618,-0.00829183156874791,-0.019258053397984698,-0.007504957906488863,-0.032018432412263764
2015-11-24,-0.00843340322432573,-0.008062333902639884,-0.018502762912660953,-0.008365652907892374,-0.031487436641121636
2015-11-25,-0.007563884220178618,-0.00769844314243795,-0.017677201766777006,-0.007483525615468722,-0.030305430207539286
2015-11-27,-0.006172940310743669,-0.006434437986114205,-0.017391127001025075,-0.006114705631200423,-0.030340859744055648
2015-11-30,-0.008694330549870122,-0.009756974055674883,-0.01827881326114822,-0.008577336455120599,-0.03000581284902304
2015-12-01,0.0,-8.545960572858835e-05,-0.007358149305575656,0.0,-0.018623417325283054
2015-12-02,-0.0061652932114386605,-0.0082698319090454,-0.013306619740297121,-0.006107880996592208,-0.022911892140188295
2015-12-03,-0.023011667364750688,-0.023618559925961957,-0.03232495958373793,-0.02304759783251542,-0.04372662000180394
2015-12-04,-0.00017347778608012288,-0.0026856103008089383,-0.017601550835441238,-0.0003453468168223006,-0.03074500328727936
2015-12-07,-0.004689050904820635,-0.00795858207603406,-0.017359415477291362,-0.004729217470732294,-0.028158423154841183
2015-12-08,-0.004602490854859087,-0.011248634835034466,-0.021127610361789673,-0.0046437335682584235,-0.030799380360587936
2015-12-09,-0.019711654881503726,-0.022598844917376737,-0.026114600035687774,-0.019616564683746507,-0.03474860559771409
