,Max Sharpe Portfolio,Min Volatility Portfolio
2017-12-05,-0.023846248665475356,0.0
2017-12-06,-0.01945114956992766,0.0
2017-12-07,-0.016231717854719552,-0.0029271369376767664
2017-12-08,-0.011927114871314592,-0.0004575703271012532
2017-12-11,-0.0043561515034117315,-0.00024145154108290434
2017-12-12,-0.0056862585048463865,0.0
2017-12-13,-0.0037198506939294385,0.0
2017-12-14,-0.0043793743214766145,0.0
2017-12-15,0.0,0.0
2017-12-18,0.0,-0.0022118162708747446
2017-12-19,-0.005989324212748448,-0.011090987043519962
2017-12-20,-0.007152454842089484,-0.017384541832175526
2017-12-21,-0.0069725977689719665,-0.013313863817765559
2017-12-22,-0.008083371139942841,-0.012685054745838586
2017-12-26,-0.013360877511313207,-0.011597572876839934
2017-12-27,-0.013116598968288096,-0.004257025433450967
2017-12-28,-0.011937085432308758,-0.0038220407820601654
2017-12-29,-0.017979335393703,-0.004631849447855552
2018-01-02,-0.0010332076532755252,-0.007386280889547514
2018-01-03,0.0,-0.001950936131650871
2018-01-04,0.0,-0.00016423981386992637
2018-01-05,0.0,0.0
2018-01-08,0.0,0.0
2018-01-09,-6.150276226801754e-05,-0.00639456085659762
2018-01-10,-0.0023881550680781016,-0.007740238706102409
2018-01-11,0.0,-0.002245812536611602
2018-01-12,0.0,0.0
2018-01-16,-0.0027923787110775145,0.0
2018-01-17,0.0,0.0
2018-01-18,0.0,-0.0058897315251341675
2018-01-19,0.0,-0.0067641100572005675
2018-01-22,0.0,-0.0026184109222963103
2018-01-23,0.0,0.0
2018-01-24,-0.006475079047687626,-0.003180430510910992
2018-01-25,-0.006749358385740756,0.0
2018-01-26,0.0,0.0
2018-01-29,-0.00487655733408876,-0.006809388895121615
2018-01-30,-0.013046542253858484,-0.01457995201840423
2018-01-31,-0.008937815798898185,-0.011137344806946725
2018-02-01,-0.01741250217161272,-0.019582081737389623
2018-02-02,-0.03691430016285058,-0.03414400502890835
2018-02-05,-0.0744499831578238,-0.04712319621283567
2018-02-06,-0.05020928327028418,-0.04200912333868467
2018-02-07,-0.062462660101969436,-0.04937940736498603
2018-02-08,-0.10166081349763223,-0.06588091280416553
2018-02-09,-0.08634509564427628,-0.06288047017687015
2018-02-12,-0.07024767308812563,-0.0544455833919264
2018-02-13,-0.0654562334615657,-0.05104990693694511
2018-02-14,-0.048220474203797936,-0.051151930802777135
2018-02-15,-0.030689392774366886,-0.04395315803676758
2018-02-16,-0.034926342351919826,-0.0409659219921793
2018-02-20,-0.033058292329631755,-0.04596090266172281
2018-02-21,-0.035893788050335274,-0.054555476134153236
2018-02-22,-0.03598192948614576,-0.05244118736162873
2018-02-23,-0.01637517696482893,-0.04103315925302764
2018-02-26,-0.003451548472119814,-0.03587974043898168
2018-02-27,-0.015689807690163038,-0.04202162965468548
2018-02-28,-0.021892574986126734,-0.042979187995837886
2018-03-01,-0.037650142648011586,-0.045578032477902486
2018-03-02,-0.02897310023683186,-0.04767084346124306
2018-03-05,-0.018333077330874525,-0.044182538336679955
2018-03-06,-0.014211820408312703,-0.04260538097078337
2018-03-07,-0.011963738239854305,-0.04334147515924358
2018-03-08,-0.006522285984937759,-0.038222273611293045
2018-03-09,0.0,-0.03424534972409932
2018-03-12,0.0,-0.03169464635182384
2018-03-13,-0.01343600107376075,-0.03178658910485899
2018-03-14,-0.013529478530376893,-0.029276484811966985
2018-03-15,-0.014383560707679877,-0.029748354892667472
2018-03-16,-0.01731645433412088,-0.03120513060726815
