portfolio_id,annualized_return_%,annualized_volatility_%,sharpe_ratio,SPY_weight_%,QQQ_weight_%,TLT_weight_%
2295,16.7039,18.9101,0.7247,20.4259,71.8194,7.7547
2296,11.8916,13.7622,0.6461,12.736,52.467,34.797
2297,11.8947,13.7538,0.6467,15.7909,50.2913,33.9178
2298,13.753,15.5156,0.693,3.4139,68.7743,27.8118
2299,7.8007,11.6209,0.4131,3.2087,38.1606,58.6307
2300,13.7517,16.14,0.6662,57.6115,29.8861,12.5025
2301,10.2684,12.3802,0.5871,39.2445,25.0613,35.6942
2302,9.4246,11.7744,0.5456,50.9909,12.2735,36.7356
2303,12.3903,14.5441,0.6456,53.5731,25.7476,20.6793
2304,15.4364,17.384,0.7154,17.287,67.521,15.192
2305,10.8942,13.3744,0.5902,71.2514,5.3334,23.4152
2306,6.7252,11.4597,0.3251,4.2812,31.8334,63.8854
2307,13.0482,14.8263,0.6777,15.1478,56.7139,28.1383
2308,1.4313,14.0106,-0.112,0.0917,7.4804,92.428
2309,11.7689,14.0926,0.6222,63.591,15.3494,21.0596
2310,9.5226,11.8849,0.5488,25.5511,31.0306,43.4183
2311,10.479,12.5531,0.5958,39.4044,26.0348,34.5608
2312,6.304,10.4105,0.3174,38.7427,4.9335,56.3238
2313,2.3528,12.5305,-0.0517,14.7428,1.7319,83.5252
2314,14.621,16.6625,0.6974,33.2533,51.8529,14.8938
2315,13.0724,14.8491,0.6783,14.6138,57.2222,28.1639
2316,11.4616,13.3673,0.633,28.8376,38.6934,32.469
2317,4.9289,11.9306,0.1617,0.0679,25.5726,74.3596
2318,9.0379,12.0708,0.5002,1.151,46.0305,52.8185
2319,5.214,11.7875,0.1878,1.254,26.1952,72.5508
2320,13.7351,17.1029,0.6277,90.1145,6.4827,3.4028
2321,17.659,20.2206,0.725,28.3016,71.1053,0.5931
2322,9.213,11.6044,0.5354,38.7462,19.9643,41.2895
2323,8.96,11.5113,0.5177,61.1752,2.5664,36.2585
2324,6.299,10.3654,0.3183,41.0436,3.2572,55.6992
2325,15.1355,16.9447,0.7162,2.6608,76.4589,20.8803
2326,11.8403,13.7921,0.641,40.2613,32.4553,27.2834
2327,12.2181,14.5102,0.6353,60.9922,19.535,19.4728
2328,9.295,11.6975,0.5381,54.044,9.4136,36.5425
2329,14.0869,16.1775,0.6853,40.7384,43.7233,15.5383
2330,4.221,12.0099,0.1017,3.9954,19.0971,76.9075
2331,3.7436,11.5619,0.0643,18.1,6.511,75.3891
2332,16.147,18.201,0.7223,16.9409,71.442,11.6171
2333,4.2422,11.7843,0.1054,8.4759,15.9922,75.5319
2334,4.6593,10.898,0.1523,25.9907,5.5822,68.427
2335,18.1763,20.5963,0.7368,13.3172,84.5284,2.1544
2336,8.1154,10.9202,0.4684,56.1974,1.7726,42.03
2337,15.4649,17.377,0.7173,13.3443,70.497,16.1587
2338,14.7751,17.8632,0.6592,75.4685,22.3643,2.1673
2339,4.0491,11.9419,0.0879,6.9458,16.0921,76.9621
2340,12.4827,14.3027,0.663,8.1818,58.7891,33.0291
2341,13.9353,16.519,0.662,64.154,26.1413,9.7047
2342,7.0838,11.1975,0.3647,12.523,27.7739,59.7031
2343,17.7614,20.3377,0.7258,27.7536,72.0277,0.2187
2344,13.4941,15.2579,0.6878,8.6929,63.6488,27.6583
2345,7.7357,10.8415,0.4368,35.7637,14.4696,49.7667
2346,16.837,19.3232,0.7161,34.4064,62.4776,3.116
2347,5.3283,10.7508,0.2166,26.2766,8.8346,64.8888
2348,7.4507,11.3614,0.3917,9.1522,32.0879,58.7599
2349,16.4816,19.0461,0.7078,41.8847,55.276,2.8393
2350,11.5387,13.5499,0.6302,44.9201,27.5543,27.5257
2351,14.9883,17.1438,0.6993,36.7181,51.2658,12.0161
2352,15.93,18.452,0.7007,45.5673,49.784,4.6488
2353,10.3765,12.4862,0.5908,43.2269,22.7629,34.0101
2354,14.8553,17.6076,0.6733,63.7763,31.1668,5.0569
2355,15.0962,17.1232,0.7064,27.588,58.3734,14.0387
2356,16.4073,18.7975,0.7132,34.4954,60.1931,5.3115
2357,10.9535,12.9901,0.6123,14.0355,46.6866,39.278
2358,13.4893,16.1928,0.6478,71.1883,18.7898,10.0218
2359,15.9692,18.1839,0.7132,29.9352,61.2009,8.8639
2360,3.42,12.0448,0.0349,11.2682,9.7399,78.992
2361,13.0393,15.085,0.6655,44.7272,35.4475,19.8253
2362,5.4358,10.4368,0.2334,36.3172,2.1872,61.4956
2363,14.0579,17.4432,0.6339,88.7543,9.1265,2.1192
2364,12.205,14.0641,0.6545,6.8847,58.2846,34.8308
2365,10.1484,12.3031,0.581,26.6405,33.4833,39.8763
2366,7.7599,11.1982,0.4251,17.5233,27.6804,54.7963
2367,13.8353,15.5986,0.6946,8.0798,65.8522,26.0681
2368,14.6079,17.2564,0.6727,61.8728,31.2536,6.8736
2369,8.5797,11.3794,0.4903,24.0713,27.2194,48.7093
2370,10.2982,12.4101,0.5881,27.4574,33.6713,38.8713
2371,9.6441,11.9036,0.5582,41.6756,20.0907,38.2337
2372,1.9875,13.2317,-0.0765,6.2931,5.9062,87.8008
2373,10.2955,12.5055,0.5834,14.8513,42.7009,42.4478
2374,17.2343,19.4915,0.7303,16.5139,77.3672,6.1189
2375,9.6843,12.3049,0.5432,4.2208,47.1686,48.6106
2376,4.89,10.7437,0.1759,28.7556,4.791,66.4534
2377,8.9836,11.5436,0.5183,62.5495,1.7026,35.7479
2378,9.8678,12.2712,0.5597,11.7697,42.7012,45.5291
2379,13.2954,15.8222,0.6507,65.8775,21.598,12.5244
2380,7.4678,11.114,0.402,17.8223,25.9566,56.2212
2381,7.3917,10.5589,0.4159,51.4748,1.4209,47.1043
2382,16.8699,19.4609,0.7127,38.9192,59.4102,1.6707
2383,14.3763,17.7428,0.6412,86.2978,12.5344,1.1679
2384,15.4729,17.6923,0.705,35.5142,54.6337,9.8521
2385,7.1882,11.1109,0.3769,15.8842,25.9017,58.2141
2386,7.4784,10.7244,0.4176,37.2653,12.063,50.6717
2387,7.1147,11.2366,0.3662,11.4248,28.7214,59.8537
2388,13.3043,15.0754,0.6835,13.4356,59.2655,27.2989
2389,9.0807,11.7229,0.5187,18.2425,33.9902,47.7673
2390,13.981,17.3532,0.6328,88.8432,8.6653,2.4915
2391,9.7624,12.1912,0.5547,64.3202,4.4569,31.2229
2392,16.5632,18.5439,0.7314,3.381,83.3203,13.2987
2393,9.5305,11.844,0.5514,49.1838,14.1175,36.6988
2394,3.571,12.4804,0.0458,1.0308,17.8645,81.1047
2395,7.6649,11.1207,0.4195,19.5875,25.7088,54.7037
2396,6.2617,10.4811,0.3112,35.2072,7.2514,57.5414
2397,8.6886,11.3622,0.5007,29.2737,24.0503,46.676
2398,15.2253,17.9163,0.6824,58.6242,36.7751,4.6007
2399,12.671,14.7079,0.6575,45.762,32.802,21.436
2400,14.3957,16.204,0.7033,13.8331,64.6206,21.5462
2401,15.2203,17.0277,0.7177,0.0879,78.743,21.1691
2402,16.1001,18.6928,0.7008,46.9296,49.6856,3.3848
2403,12.9325,15.4692,0.6421,68.1416,18.0982,13.7602
2404,11.389,13.4761,0.6225,50.5309,22.7554,26.7137
2405,6.5517,10.7818,0.3294,24.4409,16.474,59.0851
2406,14.6737,16.7345,0.6976,34.011,51.5816,14.4074
2407,9.7648,12.0187,0.5629,29.0036,29.8057,41.1907
2408,5.5235,10.5669,0.2388,31.475,6.1141,62.4109
2409,18.7557,21.1352,0.7455,0.9707,96.38,2.6493
2410,15.0048,16.9826,0.7069,24.9221,59.8133,15.2646
2411,15.3535,17.9303,0.689,53.1342,41.3758,5.49
2412,12.639,14.8365,0.6497,54.9217,26.0656,19.0127
2413,10.8031,12.8261,0.6084,21.0913,40.8474,38.0613
2414,11.1613,13.1565,0.6203,40.8106,28.552,30.6374
2415,10.0737,12.2268,0.5785,39.7196,23.714,36.5664
2416,16.4544,18.4422,0.7295,6.1415,80.7779,13.0806
2417,14.7548,16.5746,0.7092,11.1943,68.3695,20.4362
2418,8.8218,11.3848,0.5114,58.1466,4.0253,37.8281
2419,9.7975,12.2395,0.5554,11.124,42.8014,46.0745
2420,4.4857,11.5007,0.1292,12.5887,14.2999,73.1114
2421,13.4499,15.6801,0.6664,52.4055,32.061,15.5336
2422,4.1321,11.6332,0.0973,12.7125,12.3837,74.9038
2423,6.5624,11.5143,0.3094,2.8886,31.9912,65.1202
2424,17.91,20.1631,0.7395,5.7504,88.5805,5.6691
2425,17.2004,19.3481,0.7339,8.9066,82.6491,8.4442
2426,9.5833,12.0582,0.546,14.6151,39.1902,46.1947
2427,14.4499,16.9094,0.6771,55.6897,34.873,9.4374
2428,2.0668,12.8932,-0.0724,11.5994,2.5093,85.8913
2429,15.2299,17.9929,0.6797,61.2287,34.9302,3.8411
2430,14.8252,16.8443,0.702,29.8065,55.3809,14.8125
2431,7.9126,11.3368,0.4333,13.8214,31.1254,55.0533
2432,16.1689,18.8543,0.6985,50.0504,47.8022,2.1474
2433,8.2112,11.0224,0.4728,38.6988,14.8216,46.4796
2434,0.9509,14.3012,-0.1433,2.1314,3.5348,94.3338
2435,10.0304,12.2264,0.575,25.3574,33.7942,40.8484
2436,17.3667,19.898,0.722,30.3921,68.0952,1.5127
2437,14.3381,17.7476,0.6389,87.7338,11.3068,0.9594
2438,10.2987,12.7034,0.5745,1.9026,52.0068,46.0906
2439,9.7998,12.2773,0.5538,67.568,2.3202,30.1118
2440,9.7536,12.093,0.5585,57.6431,9.2017,33.1552
2441,11.3209,13.8181,0.6022,71.7712,7.1657,21.0631
2442,5.4887,10.6381,0.2339,29.2045,7.5633,63.2322
2443,7.9912,10.9845,0.4544,32.9269,17.8252,49.248
2444,10.036,12.2046,0.5765,30.3802,30.2197,39.4001
2445,7.6239,11.1963,0.413,16.1529,27.9605,55.8865
2446,9.9759,12.4646,0.5597,69.294,1.9919,28.7141
2447,7.7805,11.0879,0.4311,22.5613,24.1727,53.266
2448,12.7107,15.269,0.636,69.988,15.6274,14.3846
2449,12.0802,14.6195,0.6211,71.7121,11.1321,17.1558
2450,3.9114,11.5809,0.0787,15.9673,8.9081,75.1246
2451,12.8602,16.0506,0.6143,89.5952,2.3338,8.071
2452,6.8494,10.7147,0.3593,28.6827,14.9693,56.3479
2453,7.4962,10.6007,0.4241,52.4995,1.2255,46.275
2454,15.7348,17.6777,0.7204,12.7563,72.3134,14.9303
2455,14.2383,17.6446,0.6369,88.258,10.4147,1.3273
2456,14.871,16.9065,0.7022,30.4708,55.1413,14.3879
2457,5.0293,10.5123,0.193,35.1836,0.8998,63.9166
2458,14.1494,15.951,0.699,15.3788,62.2388,22.3823
2459,3.3361,11.5078,0.0292,23.8773,0.2607,75.862
2460,7.9403,11.1026,0.445,24.5325,23.5843,51.8832
2461,17.9174,20.2219,0.7377,9.5127,85.9202,4.5671
2462,9.0454,12.074,0.5007,1.1471,46.0719,52.781
2463,8.8944,11.6521,0.5059,16.9119,33.9819,49.1062
2464,14.9751,17.3426,0.6905,47.4946,43.4662,9.0392
2465,11.8806,14.7235,0.6032,82.9154,2.0634,15.0212
