,Strategy A,Strategy B,Strategy C
2023-07-11,-0.07810330237300367,-0.0627134796024672,-0.14935569905703094
2023-07-12,-0.06645939462397432,-0.05302369800945261,-0.1414616335979495
2023-07-13,-0.05060923441685139,-0.04122654445474816,-0.1337629590460242
2023-07-14,-0.05080945448806684,-0.04162615374830503,-0.13612699033015951
2023-07-17,-0.0419453282708252,-0.03548746742233022,-0.13415689435648637
2023-07-18,-0.03410785415653117,-0.027958854680191436,-0.12872448719691332
2023-07-19,-0.03433315998531172,-0.02699145783867951,-0.12362504621540593
2023-07-20,-0.05659370206134995,-0.0414340387188733,-0.1313699646918567
2023-07-21,-0.05942326678384702,-0.04287155531917264,-0.13126743558545428
2023-07-24,-0.05792076193600493,-0.039969149127608294,-0.13020270870778394
2023-07-25,-0.051535698819307085,-0.0354052704496608,-0.12943003506695439
2023-07-26,-0.054690757071076845,-0.036935584125527554,-0.12900573741891375
2023-07-27,-0.05694428134818752,-0.04127603777582056,-0.139247794851443
2023-07-28,-0.03976682827175726,-0.02785151043226275,-0.13242329425764754
2023-07-31,-0.03926604509906584,-0.0266725165969256,-0.13059765067692963
2023-08-01,-0.04149456128349571,-0.02919402299505436,-0.13778913481912092
2023-08-02,-0.06252815352048657,-0.04659811263478042,-0.1486754773233736
2023-08-03,-0.06403065836832866,-0.04872826326456825,-0.15799571055662565
2023-08-04,-0.06841266645914557,-0.05310626519962225,-0.1543151782970995
2023-08-07,-0.060525098494605634,-0.044965145198187395,-0.15321542035910185
2023-08-08,-0.06851285415963759,-0.05110181699267502,-0.15149118162703978
2023-08-09,-0.07875405643689626,-0.05948987113847559,-0.15313953347557285
2023-08-10,-0.07705156451249096,-0.05845209531596218,-0.15853386547320392
2023-08-11,-0.08293576679161363,-0.0617279508465306,-0.15960282821707872
2023-08-14,-0.07264447066410884,-0.053873593591559854,-0.1575595169038978
2023-08-15,-0.08248507746916822,-0.0644042720690402,-0.16550168451202696
2023-08-16,-0.09220056614593886,-0.0727904421257568,-0.17178756849402177
2023-08-17,-0.10211643022369321,-0.0813870432803856,-0.17698612652191936
2023-08-18,-0.10324319236224866,-0.08174236899377008,-0.17558592810497986
2023-08-21,-0.08879519397270752,-0.07135793326734186,-0.17676348549114984
2023-08-22,-0.09009709042491354,-0.07327901997440356,-0.1755742519600364
2023-08-23,-0.07574935740074851,-0.0608117303430209,-0.16189410945513705
2023-08-24,-0.09550582828356224,-0.07735771016442006,-0.17107392252727804
2023-08-25,-0.08849470853611607,-0.07052960911475448,-0.16648473863778301
2023-08-28,-0.08163371500963934,-0.06408450305982794,-0.16296323897232334
2023-08-29,-0.06157668102535008,-0.047100115697340295,-0.15222627427738844
2023-08-30,-0.056343310475004404,-0.04248064397287232,-0.15048331610252508
2023-08-31,-0.053513901082275495,-0.041745832768356195,-0.14971051145846292
2023-09-01,-0.05451562275742616,-0.04135911024414329,-0.15405732961817653
2023-09-05,-0.05331344801640758,-0.042821354628928,-0.16099585393801874
2023-09-06,-0.06165186063316119,-0.05025403716735288,-0.16355456996199536
2023-09-07,-0.06836265027378385,-0.055108144722795904,-0.1641674870334271
2023-09-08,-0.06706044316204163,-0.05373616399671244,-0.16213179406800893
2023-09-11,-0.05606791079597784,-0.04504982237922339,-0.16124060549709573
2023-09-12,-0.06653457423178533,-0.05296352851444952,-0.16206761038503037
2023-09-13,-0.06297899817270025,-0.05060776392765709,-0.1615525738673973
2023-09-14,-0.05531681370182473,-0.042633105121745896,-0.15963570971784546
2023-09-15,-0.07149254510310421,-0.05659684890451444,-0.1677591614607582
2023-09-18,-0.0705246076525381,-0.05582853607269889,-0.16556835578081053
2023-09-19,-0.0725057611811023,-0.05781379710973944,-0.1690700005904756
2023-09-20,-0.08587118875114197,-0.06893327950426209,-0.17261487551723598
2023-09-21,-0.10262233927873499,-0.08515852586453532,-0.18931690998810335
2023-09-22,-0.10249667749625757,-0.08612297793546608,-0.18780067170485215
2023-09-25,-0.09823388500253749,-0.08203119940148085,-0.19374631416677546
2023-09-26,-0.11177499054041651,-0.09566645064014545,-0.20197438497644515
2023-09-27,-0.1096935716464763,-0.09442642356178288,-0.2034354888251817
2023-09-28,-0.10224605291525968,-0.088013742673683,-0.19969165777961762
2023-09-29,-0.10159421154298953,-0.08878932848782128,-0.20082081206247693
2023-10-02,-0.09409621063710638,-0.08516812997078116,-0.20636287953972854
2023-10-03,-0.10999460073725664,-0.09931861974097866,-0.2195660877142509
2023-10-04,-0.09788276206151125,-0.08991076864469649,-0.2117523036604816
2023-10-05,-0.10054092038479467,-0.09142301198504876,-0.21350215126083882
2023-10-06,-0.0854700496247538,-0.07841746711561459,-0.2117113670186651
2023-10-09,-0.08080580734510923,-0.07311733343783666,-0.20128295491220938
2023-10-10,-0.07571549551127987,-0.0681387725226863,-0.19923048895348416
2023-10-11,-0.06912027121820119,-0.06290553248633968,-0.19057226343389044
2023-10-12,-0.0723553243005961,-0.06739029933645269,-0.20231632709474356
2023-10-13,-0.08401554167528713,-0.07557424277005464,-0.19899114895815695
2023-10-16,-0.07365916237490455,-0.06548518030623118,-0.1990912101042871
2023-10-17,-0.07669329640212696,-0.06703705786150149,-0.2026437937897677
2023-10-18,-0.08880529040764062,-0.07937232629038327,-0.21182478361449464
2023-10-19,-0.09733103072484883,-0.08772383514795423,-0.2224345947392552
2023-10-20,-0.11079703431980092,-0.10013348971729297,-0.2264011899062135
2023-10-23,-0.1081137902389524,-0.09955559666106562,-0.2234882384684287
2023-10-24,-0.09943745771146983,-0.09178142590108085,-0.21588287294881092
2023-10-25,-0.1214795284685285,-0.10941364516951346,-0.22961733365963732
2023-10-26,-0.1382304460014694,-0.12323634704354369,-0.23042572050166032
2023-10-27,-0.13409292696580621,-0.12311867568723156,-0.23382663034296924
2023-10-30,-0.12433813985768005,-0.11293755086476642,-0.22971091515201691
2023-10-31,-0.12015052697177098,-0.10803100072836225,-0.22831227110845742
2023-11-01,-0.10487904781609392,-0.09553376070728092,-0.2166817440168637
2023-11-02,-0.08862945711003334,-0.07865742743712445,-0.20053174776530236
2023-11-03,-0.07792234319304514,-0.06904233724766362,-0.19398769227002943
2023-11-06,-0.07416064453155291,-0.06607256590608268,-0.19600252948545582
2023-11-07,-0.06540913239625945,-0.06032959018667505,-0.18988601633044078
2023-11-08,-0.06480722954446716,-0.05968292812855813,-0.1840103442838833
2023-11-09,-0.07200420135956997,-0.0669677734678279,-0.19533603632681074
2023-11-10,-0.05114061755387855,-0.04919946477341286,-0.18599969603434852
2023-11-13,-0.054099727303058454,-0.05113517960233904,-0.1872052441591645
2023-11-14,-0.03373778098378344,-0.03171790950215536,-0.17037424622923691
2023-11-15,-0.03301068233881832,-0.03032875215251818,-0.17397784714764686
2023-11-16,-0.03218324066359268,-0.02932077958905488,-0.1692656507283934
2023-11-17,-0.031957313515739494,-0.028603829434080352,-0.16708847966676976
2023-11-20,-0.02017143435857116,-0.018951794625018614,-0.16120657357219959
2023-11-21,-0.025863882038845376,-0.02287062819924568,-0.16245152434497212
2023-11-22,-0.021876722218804323,-0.018984581727804595,-0.15932717547626873
2023-11-24,-0.023255972895576016,-0.01937448499760286,-0.16297664740849616
2023-11-27,-0.024108500328366422,-0.020685483286364548,-0.15828847526278256
2023-11-28,-0.021550840365111346,-0.018917293988608752,-0.15712453986427433
2023-11-29,-0.022503477833509367,-0.019739987511988688,-0.15324199424689533
2023-11-30,-0.02496126075580929,-0.019042437137312906,-0.15515406954674205
2023-12-01,-0.02217751831493231,-0.014740625250763362,-0.1457906243080832
2023-12-04,-0.03125522296345529,-0.021899958911899442,-0.14984051787476338
2023-12-05,-0.028822914123141086,-0.020768385068908768,-0.14263453931416803
